Date,Forecast,Upper_Band,Lower_Band
2025-07-31,313.5602,329.23822,297.8822
2025-08-01,312.22885,327.84027,296.6174
2025-08-04,310.7296,326.26608,295.1931
2025-08-05,309.10242,324.55753,293.64728
2025-08-06,307.39417,322.76385,292.02444
2025-08-07,305.64334,320.9255,290.36118
2025-08-08,303.87842,319.07233,288.68448
2025-08-11,302.1195,317.22546,287.01352
2025-08-12,300.3807,315.39972,285.36166
2025-08-13,298.67093,313.60446,283.73737
2025-08-14,296.9952,311.84494,282.14545
2025-08-15,295.356,310.12378,280.5882
2025-08-18,293.75366,308.44135,279.06598
2025-08-19,292.18774,306.79712,277.57834
2025-08-20,290.6571,305.18994,276.12424
2025-08-21,289.1605,303.6185,274.70245
2025-08-22,287.69687,302.0817,273.312
2025-08-25,286.26535,300.5786,271.9521
2025-08-26,284.86548,299.10873,270.6222
2025-08-27,283.49692,297.67175,269.32208
2025-08-28,282.15988,296.26785,268.05188
2025-08-29,280.85458,294.8973,266.81186
2025-09-01,279.58127,293.56033,265.6022
2025-09-02,278.34036,292.25735,264.42334
2025-09-03,277.1324,290.98898,263.27576
2025-09-04,275.95752,289.75537,262.15964
2025-09-05,274.81607,288.55685,261.07526
2025-09-08,273.70792,287.3933,260.02252
2025-09-09,272.63306,286.2647,259.0014
2025-09-10,271.59125,285.1708,258.0117
2025-09-11,270.5822,284.1113,257.0531
2025-09-12,269.6055,283.08575,256.1252
2025-09-15,268.66052,282.09354,255.2275
2025-09-16,267.74667,281.134,254.35933
2025-09-17,266.86343,280.2066,253.52026
2025-09-18,266.01007,279.31055,252.70956
2025-09-19,265.18582,278.4451,251.92653
2025-09-22,264.38995,277.60944,251.17046
2025-09-23,263.6218,276.8029,250.4407
2025-09-24,262.88055,276.02457,249.73653
2025-09-25,262.16547,275.2737,249.05719
2025-09-26,261.47583,274.54962,248.40204
2025-09-29,260.811,273.85153,247.77045
2025-09-30,260.17007,273.17856,247.16156
2025-10-01,259.5526,272.53024,246.57498
2025-10-02,258.9576,271.9055,246.00972
2025-10-03,258.38446,271.30368,245.46524
2025-10-06,257.83264,270.72427,244.94101
